review_no,singular_tag,plural_tag,decision,merge_into,reviewer_notes,review_author,is_flagged_review_pair
1,female vocalist,female vocalists,Merge,female vocalist,,,False
2,singer-songwriter,singer-songwriters,Merge,singer-songwriter,,,False
3,instrumental,instrumentals,Merge,instrumental,,,False
4,soul,souls,Merge,soul,,,False
5,male vocalist,male vocalists,Merge,male vocalist,,,False
6,soundtrack,soundtracks,Merge,soundtrack,,,False
7,cover,covers,Merge,cover,,,False
8,american,americans,Merge,american,,,False
9,favorite,favorites,Merge,favorite,Flagged: personal/subjective preference.,,True
10,blue,blues,Keep separate,,Keep separate: `blue` may describe mood; `blues` is a genre.,,False
11,ballad,ballads,Merge,ballad,,,False
12,oldie,oldies,Merge,oldies,,,False
13,guilty pleasure,guilty pleasures,Merge,guilty pleasure,Flagged: personal/subjective preference.,,True
14,guitar,guitars,Merge,guitar,,,False
15,favorite song,favorite songs,Merge,favorite song,Flagged: personal/subjective preference.,,True
16,legend,legends,Merge,legend,Flagged: subjective/evaluative label.,,True
17,chill,chills,Keep separate,,Keep separate: `chill` and `chills` represent different emotional concepts.,,False
18,favourite,favourites,Merge,favourite,,,False
19,love song,love songs,Merge,love song,,,False
20,new romantic,new romantics,Merge,new romantic,,,False
21,diva,divas,Merge,diva,,,False
22,fave,faves,Merge,fave,Flagged: personal preference.,,True
23,vocal,vocals,Merge,vocal,,,False
24,my favorite,my favorites,Merge,my favorite,Flagged: personal preference.,,True
25,duet,duets,Merge,duet,,,False
26,american idol,american idols,Merge,american idol,,,False
27,favorite artist,favorite artists,Merge,favorite artist,Flagged: personal preference.,,True
28,female vocal,female vocals,Merge,female vocals,,,False
29,great song,great songs,Merge,great song,Flagged: subjective evaluation.,,True
30,fav song,fav songs,Merge,fav song,Flagged: personal/subjective preference.,,True
31,composer,composers,Merge,composer,,,False
32,idolo,idolos,Merge,idolo,Flagged: personal/subjective category.,,True
33,b-side,b-sides,Merge,b-side,,,False
34,favorite band,favorite bands,Merge,favorite band,Flagged: personal preference.,,True
35,summer song,summer songs,Merge,summer song,,,False
36,masterpiece,masterpieces,Merge,masterpiece,Flagged: subjective evaluation.,,True
37,female voice,female voices,Merge,female voice,,,False
38,musical,musicals,Merge,musical,,,False
39,boyband,boybands,Merge,boyband,,,False
40,saxophone,saxophones,Merge,saxophone,,,False
41,beat,beats,Merge,beat,,,False
42,my favorite song,myfavoritesongs,Merge,my favorite song,Flagged: personal preference.,,True
43,sexy song,sexy songs,Merge,sexy song,Flagged: subjective evaluation.,,True
44,color,colors,Keep separate,,Keep separate: insufficient evidence that the forms have the same intended meaning.,,False
45,dream,dreams,Keep separate,,"Keep separate: related concepts, but not clearly equivalent in the assignments.",,False
46,songwriter,songwriters,Merge,songwriter,,,False
47,male vocal,male vocals,Merge,male vocals,,,False
48,new discovery,new discoverys,Merge,new discovery,,,False
49,girl group,girl groups,Merge,girl group,,,False
50,queen,queens,Keep separate,,Keep separate. `queen` is ambiguous/subjective; `queens` may be geographic.,,True
51,animal,animals,Merge,animals,Flagged: thematic or potentially personal category.,,True
52,bad day,bad days,Merge,bad day,Flagged: mood/listening-context.,,True
53,drug,drugs,Merge,drugs,Flagged: thematic/ambiguous.,,True
54,demo,demos,Merge,demo,,,False
55,violin,violins,Keep separate,,Keep separate: `violins` may be an artist-name tag rather than instrumentation.,,False
56,setenta,setentas,Merge,setenta,,,False
57,idol,idols,Merge,idol,Flagged: personal/ambiguous.,,True
58,rock ballad,rock ballads,Merge,rock ballad,,,False
59,rainy day,rainy days,Merge,rainy day,Flagged: mood/listening-context.,,True
60,wale,wales,Keep separate,,Keep separate: `Wale` is an artist name; `Wales` is geographic.,,False
61,drum,drums,Merge,drums,,,False
62,flute,flutes,Merge,flute,,,False
63,great cover,great covers,Merge,great cover,Flagged: subjective evaluation.,,True
64,great voice,great voices,Merge,great voice,Flagged: subjective evaluation.,,True
65,original,originals,Keep separate,,Keep separate: `original` and `originals` may represent different categories.,,False
66,vocalist,vocalists,Merge,vocalist,,,False
67,big band,big bands,Merge,big band,,,False
68,gay icon,gay icons,Merge,gay icon,Flagged: cultural/contextual.,,True
69,all time favorite,all time favorites,Merge,all time favorite,Flagged: personal preference.,,True
70,beautiful voice,beautiful voices,Merge,beautiful voice,Flagged: subjective evaluation.,,True
71,favorite album,favorite albums,Merge,favorite album,Flagged: personal preference.,,True
72,mashup,mash ups,Merge,mashup,,,False
73,song,songs,Merge,song,Flagged: generic/low-information.,,True
74,girl,girls,Keep separate,,Keep separate. Flagged: ambiguous gender/group classification.,,True
75,great riff,great riffs,Merge,great riff,Flagged: subjective evaluation.,,True
76,heart,hearts,Merge,heart,Flagged: thematic/ambiguous.,,True
77,linda,lindas,Merge,linda,Flagged: subjective evaluation.,,True
78,band,bands,Merge,band,Flagged: generic/low-information.,,True
79,girl band,girl bands,Merge,girl band,,,False
80,question,questions,Keep separate,,Keep separate. Flagged: ambiguous/private organisational label.,,True
81,string,strings,Merge,strings,,,False
82,field recording,field recordings,Merge,field recording,,,False
83,guitar god,guitar gods,Merge,guitar god,Flagged: subjective evaluation.,,True
84,johnny,johnnys,Keep separate,,Keep separate. Flagged: `johnnys` may be agency/contextual; `johnny` is unclear.,,True
85,soundscape,soundscapes,Merge,soundscape,,,False
86,light,lights,Keep separate,,Keep separate. Flagged: ambiguous meanings.,,True
87,my fav,my favs,Merge,my fav,Flagged: personal preference.,,True
88,outsider,outsiders,Merge,outsiders,Flagged: cultural/ambiguous.,,True
89,featuring,featurings,Merge,featuring,,,False
90,game soundtrack,game soundtracks,Merge,game soundtrack,,,False
91,perfect song,perfect songs,Merge,perfect song,Flagged: subjective evaluation.,,True
92,power ballad,power ballads,Merge,power ballad,,,False
93,spoken word,spoken words,Merge,spoken word,,,False
94,jam band,jam bands,Merge,jam band,,,False
