duplicate_key,source_artistID,source_name,source_distinct_listeners,source_total_listens,final_artistID,survivor_source_name,is_survivor
eldad lidor,13305,Eldad  Lidor,1,83,13305,Eldad  Lidor,True
eldad lidor,13306,Eldad Lidor,1,72,13305,Eldad  Lidor,False
michel teló,7091,Michel Teló,4,23479,7091,Michel Teló,True
michel teló,12654,MICHEL TELÓ,1,346,7091,Michel Teló,False
бригадный подряд,2736,Бригадный Подряд,1,5081,2736,Бригадный Подряд,True
бригадный подряд,10497,БРИГАДНЫЙ ПОДРЯД,1,138,2736,Бригадный Подряд,False
гости из будущего,3857,Гости Из Будущего,1,606,3857,Гости Из Будущего,True
гости из будущего,13360,Гости из Будущего,1,249,3857,Гости Из Будущего,False
гости из будущего,4302,Гости из будущего,1,163,3857,Гости Из Будущего,False
ежи и петруччо,7362,Ежи И Петруччо,1,268,7362,Ежи И Петруччо,True
ежи и петруччо,7363,Ежи и Петруччо,1,246,7362,Ежи И Петруччо,False
записки неизвестного,8611,Записки Неизвестного,1,338,8611,Записки Неизвестного,True
записки неизвестного,14179,Записки неизвестного,1,169,8611,Записки Неизвестного,False
король и шут,11170,Король и Шут,4,790,11170,Король и Шут,True
король и шут,10504,Король И Шут,1,129,11170,Король и Шут,False
настя,3849,НАСТЯ,1,30,3849,НАСТЯ,True
настя,3851,Настя,1,28,3849,НАСТЯ,False
пси(х)ея,3835,Пси(Х)еЯ,1,105,3835,Пси(Х)еЯ,True
пси(х)ея,3853,Пси(Х)ея,1,17,3835,Пси(Х)еЯ,False
розовые очки от ferre,16196,Розовые Очки От Ferre,1,99,16196,Розовые Очки От Ferre,True
розовые очки от ferre,8631,Розовые очки от ferre,1,68,16196,Розовые Очки От Ferre,False
слот,4502,Слот,8,4729,4502,Слот,True
слот,4914,СЛОТ,1,207,4502,Слот,False
торба-на-круче,16016,Торба-на-Круче,1,146,16016,Торба-на-Круче,True
торба-на-круче,4902,Торба-На-Круче,1,137,16016,Торба-на-Круче,False
