section,measure,value
source,users,1892
source,raw artists,17632
artists,duplicate groups reviewed,12
artists,absorbed artist IDs,13
artists,clean artists,17619
artists,targeted encoding repairs,1
listening,raw rows,92834
listening,clean rows,92829
listening,total weight before,69183975
listening,total weight after,69183975
friendships,directed rows,25434
friendships,undirected edges,12717
tags,raw tag IDs,11946
tags,basic normalized keys,11801
tags,final canonical keys in lookup,11486
tags,used canonical tags,9297
tags,approved review pairs merged,321
tags,approved review pairs kept separate,22
tags,approved review pairs flagged,73
tags,content-model eligible tags,3500
tag assignments,raw events,186479
tag assignments,orphan events removed from analysis,1538
tag assignments,valid event rows,184941
tag assignments,unique cleaned votes,182133
timestamps,pre-2005 anomalies retained,5
content profile,artists with eligible profile,11839
