tagID,raw_tag,raw_distinct_users,raw_distinct_artists,raw_assignments,display_normalized,tag_key,base_display_tag,post_plural_key,canonical_key,canonical_tag,review_numbers,manual_review_notes,manual_review_flag
1,metal,237,638,1722,metal,metal,metal,metal,metal,metal,,,False
2,alternative metal,62,101,212,alternative metal,alternative metal,alternative metal,alternative metal,alternative metal,alternative metal,,,False
3,goth rock,5,20,22,goth rock,goth rock,goth rock,gothic rock,gothic rock,gothic rock,310,,False
4,black metal,55,126,299,black metal,black metal,black metal,black metal,black metal,black metal,,,False
5,death metal,96,216,579,death metal,death metal,death metal,death metal,death metal,death metal,,,False
6,industrial metal,62,82,210,industrial metal,industrial metal,industrial metal,industrial metal,industrial metal,industrial metal,,,False
7,gothic metal,72,104,299,gothic metal,gothic metal,gothic metal,gothic metal,gothic metal,gothic metal,,,False
8,terror ebm,3,4,6,terror ebm,terror ebm,terror ebm,terror ebm,terror ebm,terror ebm,,,False
9,electro-industrial,13,49,55,electro-industrial,electro industrial,electro-industrial,electro industrial,electro industrial,electro-industrial,,,False
10,harsh ebm,9,22,26,harsh ebm,harsh ebm,harsh ebm,harsh ebm,harsh ebm,harsh ebm,,,False
11,post black metal,1,1,1,post black metal,post black metal,post-black metal,post black metal,post black metal,post-black metal,,,False
12,aggrotech,3,8,9,aggrotech,aggrotech,aggrotech,aggrotech,aggrotech,aggrotech,,,False
13,chillout,146,723,1375,chillout,chillout,chillout,chill out,chill out,chill out,193,,False
14,ambient,241,763,1660,ambient,ambient,ambient,ambient,ambient,ambient,196 | 197,,False
15,downtempo,82,361,682,downtempo,downtempo,downtempo,downtempo,downtempo,downtempo,191 | 192,,False
16,new wave,191,482,1589,new wave,new wave,new wave,new wave,new wave,new wave,224 | 225,,False
17,synth pop,53,158,325,synth pop,synth pop,synth pop,synth pop,synth pop,synth-pop,169 | 1691 | 1692,,False
18,electronic,501,1704,4616,electronic,electronic,electronic,electronic,electronic,electronic,198 | 199 | 200 | 201 | 202 | 299 | 300,,False
19,80's,18,60,69,80's,80's,80's,1980s,1980s,1980s,144 | 145 | 146 | 160 | 161 | 222 | 229 | 231 | 242,,False
20,lounge,39,174,254,lounge,lounge,lounge,lounge,lounge,lounge,,,False
21,trip-hop,129,298,875,trip-hop,trip hop,trip-hop,trip hop,trip hop,trip hop,171,,False
