canonical_key,canonical_tag,distinct_users,distinct_artists,vote_rows,source_assignments,raw_tag_id_count,raw_variant_count,raw_variants,review_numbers,manual_review_notes,manual_review_flag,automatic_exclusion_reason,manual_flag_reason,is_flagged,semantic_content_eligible,semantic_exclusion_reason,single_user_tag,meets_min_artist_threshold,use_for_content_model,content_model_exclusion_reason
0 play yet,0 play yet,1,39,39,39,1,1,0 play yet,,,False,personal preference or user behaviour,,True,False,personal preference or user behaviour,True,True,False,personal preference or user behaviour
00,00,4,37,37,37,1,1,00's,141,,False,,,False,True,,False,True,True,
007,007,1,1,1,1,1,1,007,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
00s rock,00s rock,1,1,1,1,1,1,00s rock,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
1,1,2,2,2,2,1,1,1,,,False,,,False,True,,False,True,True,
1008,1008,1,42,42,42,1,1,1008,,,False,,,False,True,,True,True,True,
10101,10101,1,1,1,1,1,1,10101,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
10s,10s,11,57,61,61,1,1,10s,,,False,,,False,True,,False,True,True,
111,111,1,1,1,1,1,1,111,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
112,112,1,1,1,1,1,1,112,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
12 stones,12 stones,1,1,1,1,1,1,12 stones,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
1200 micrograms,1200 micrograms,1,1,1,1,1,1,1200 micrograms,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
1200 mics,1200 mics,1,1,1,1,1,1,1200 mics,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
1337,1337,1,3,3,3,1,1,1337,,,False,,,False,True,,True,True,True,
1337 guitar players,1337 guitar players,1,2,2,2,1,1,1337 guitar players,,,False,,,False,True,,True,True,True,
1488,1488,1,1,1,1,1,1,1488,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
18 hits,18 hits,1,1,1,1,1,1,18 hits,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
1900,1900,1,1,1,1,1,1,1900,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
1900s,1900s,1,1,1,1,1,1,1900s,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
1940s,1940s,1,10,10,10,1,1,1940s,,,False,,,False,True,,True,True,True,
1950s,1950s,21,84,135,161,3,3,1950s | 50's | 50s,232 | 233,,False,,,False,True,,False,True,True,
1960s,1960s,93,285,748,800,4,4,1960's | 1960s | 60's | 60s,143 | 228 | 234,,False,,,False,True,,False,True,True,
1963,1963,1,12,12,12,1,1,1963,,,False,,,False,True,,True,True,True,
1964,1964,1,27,27,27,1,1,1964,,,False,,,False,True,,True,True,True,
1965,1965,1,26,26,26,1,1,1965,,,False,,,False,True,,True,True,True,
1966,1966,1,31,31,31,1,1,1966,,,False,,,False,True,,True,True,True,
1967,1967,2,28,28,28,1,1,1967,,,False,,,False,True,,False,True,True,
1968,1968,1,21,21,21,1,1,1968,,,False,,,False,True,,True,True,True,
1969,1969,2,22,22,22,1,1,1969,,,False,,,False,True,,False,True,True,
1970,1970,2,15,16,16,1,1,1970,,,False,,,False,True,,False,True,True,
1970s,1970s,107,424,1046,1120,5,5,1970's | 1970s | 70 | 70's | 70s,147 | 157 | 159 | 162,,False,,,False,True,,False,True,True,
1971,1971,1,2,2,2,1,1,1971,,,False,,,False,True,,True,True,True,
1973,1973,2,3,3,3,1,1,1973,,,False,,,False,True,,False,True,True,
1974,1974,1,1,1,1,1,1,1974,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
1975,1975,1,1,1,1,1,1,1975,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
1976,1976,1,1,1,1,1,1,1976,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
1977,1977,1,1,1,1,1,1,1977,,,False,,,False,True,,True,False,False,used on fewer than 2 distinct artists
1978,1978,3,7,7,7,1,1,1978,,,False,,,False,True,,False,True,True,
1979,1979,4,16,16,16,2,2,1979 | 1979 songs,223,,False,,,False,True,,False,True,True,
1980,1980,3,8,8,8,1,1,1980,,,False,,,False,True,,False,True,True,
1980s,1980s,263,812,2853,2950,9,9,'80s | 1980 songs | 1980's | 1980s | 80 | 80's | 80's music | 80s | anos 80,144 | 145 | 146 | 160 | 161 | 222 | 229 | 231 | 242,,False,,,False,True,,False,True,True,
1981,1981,6,60,73,73,2,2,1981 | 1981 songs,148,,False,,,False,True,,False,True,True,
1982,1982,5,63,73,73,2,2,1982 | 1982 songs,149,,False,,,False,True,,False,True,True,
1983,1983,4,37,37,37,2,2,1983 | 1983 songs,150,,False,,,False,True,,False,True,True,
1984,1984,4,38,38,38,2,2,1984 | 1984 songs,151,,False,,,False,True,,False,True,True,
1985,1985,3,23,24,24,2,2,1985 | 1985 songs,152,,False,,,False,True,,False,True,True,
1986,1986,4,35,35,35,2,2,1986 | 1986 songs,153,,False,,,False,True,,False,True,True,
